id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,timezone
31723,AU-KBD,small_airport,Kimberley Downs Airport,-17.39780044555664,124.3550033569336,,OC,AU,AU-WA,Kimberley Downs,no,,KBD,,,,,Australia/Perth
31745,AU-KGR,small_airport,Kulgera Airport,-25.8428,133.292007,,OC,AU,AU-NT,Ghan,no,,KGR,,,,,Australia/Darwin
31995,AU-MYO,small_airport,Camballin Airport,-18.12470054626465,124.27200317382812,,OC,AU,AU-WA,Myroodah,no,,MYO,,,,,Australia/Perth
32109,AU-OKB,small_airport,Orchid Beach Airport,-24.959400177002,153.31500244141,71.0,OC,AU,AU-QLD,Orchid Beach,no,YORC,OKB,YORC,,,,Australia/Brisbane
32152,AU-PEP,small_airport,Peppimenarti Airport,-14.1442,130.091003,83.0,OC,AU,AU-NT,Peppimenarti,no,,PEP,YPEP,,,,Australia/Darwin
32201,AU-RDA,small_airport,Rockhampton Downs Airport,-18.95330047607422,135.2010040283203,,OC,AU,AU-NT,Rockhampton Downs,no,,RDA,,,,,Australia/Darwin
32384,AU-SSK,small_airport,Sturt Creek Airport,-19.166400909423828,128.1739959716797,,OC,AU,AU-WA,Sturt Creek,no,,SSK,,,,,Australia/Perth
32401,AU-SWB,small_airport,Shaw River Airport,-21.510299682617188,119.36199951171876,,OC,AU,AU-WA,Shaw River,no,,SWB,,,,,Australia/Perth
32474,AU-TPR,small_airport,Tom Price Airport,-22.746000289900003,117.869003296,2300.0,OC,AU,AU-WA,Tom Price,no,YTMP,TPR,,,https://en.wikipedia.org/wiki/Tom_Price_Airport,,Australia/Perth
32486,AU-TWP,small_airport,Torwood Airport,-17.363300323486328,143.75,,OC,AU,AU-QLD,Torwood,no,,TWP,,,,,Australia/Brisbane
32752,AU-ZVG,small_airport,Springvale Airport,-17.78689956665039,127.66999816894533,,OC,AU,AU-WA,Springvale,no,,ZVG,,,,,Australia/Perth
301735,AUI,small_airport,Aua Island Airport,-1.46055555556,143.064722222,4.0,OC,PG,PG-MRL,Aua Island,no,AYND,AUI,AUA,,,,Pacific/Port_Moresby
